image_path;classes;width;height;orientation;word_count
marie-claire_img/pub/bpt6k47011323-PAG_35_IL000001 - Grande.jpeg;pub;3878;5083;portrait;23
marie-claire_img/pub/bpt6k4701148z-PAG_43_IL000001 - Grande.jpeg;pub;3980;5095;portrait;95
marie-claire_img/pub/bpt6k4701115k-PAG_6_IL000001 - Grande.jpeg;pub;3890;5087;portrait;10
marie-claire_img/pub/bpt6k47010409-PAG_2_IL000001 - Grande.jpeg;pub;3798;5000;portrait;174
marie-claire_img/pub/bpt6k4701138k-PAG_38_IL000001 - Grande.jpeg;pub;3976;5095;portrait;12
marie-claire_img/pub/bpt6k4701136r-PAG_31_IL000001 - Grande.jpeg;pub;3864;5095;portrait;145
marie-claire_img/pub/bpt6k4701330z-PAG_15_IL000001 - Grande.jpeg;pub;3773;4969;portrait;10
marie-claire_img/pub/bpt6k4701085w-PAG_10_IL000001 - Grande.jpeg;pub;3861;5004;portrait;15
marie-claire_img/pub/bpt6k47011538-PAG_51_IL000001 - Grande.jpeg;pub;3969;5039;portrait;213
marie-claire_img/pub/bpt6k4701336f-PAG_12_IL000001 - Grande.jpeg;pub;3826;4969;portrait;17
marie-claire_img/pub/bpt6k4701174f-PAG_30_IL000001 - Grande.jpeg;pub;3885;5000;portrait;22
marie-claire_img/pub/bpt6k4701044z-PAG_57_IL000001 - Grande.jpeg;pub;3651;5000;portrait;99
marie-claire_img/pub/bpt6k47012934-PAG_14_IL000001 - Grande.jpeg;pub;3861;4967;portrait;117
marie-claire_img/pub/bpt6k4701207c-PAG_23_IL000001 - Grande.jpeg;pub;3819;4957;portrait;39
marie-claire_img/pub/bpt6k4701287d-PAG_15_IL000001 - Grande.jpeg;pub;3933;4997;portrait;22
marie-claire_img/pub/bpt6k47013084-PAG_14_IL000001 - Grande.jpeg;pub;3905;5002;portrait;249
marie-claire_img/pub/bpt6k47012630-PAG_20_IL000001 - Grande.jpeg;pub;3823;4929;portrait;18
marie-claire_img/pub/bpt6k4701115k-PAG_2_IL000001 - Grande.jpeg;pub;3890;5087;portrait;51
marie-claire_img/pub/bpt6k4701339p-PAG_13_IL000001 - Grande.jpeg;pub;3826;4969;portrait;22
marie-claire_img/pub/bpt6k4701189w-PAG_38_IL000001 - Grande.jpeg;pub;3921;5039;portrait;58
marie-claire_img/pub/bpt6k4701136r-PAG_6_IL000001 - Grande.jpeg;pub;3954;5095;portrait;27
marie-claire_img/pub/bpt6k4701091m-PAG_56_IL000001 - Grande.jpeg;pub;3861;5039;portrait;28
marie-claire_img/pub/bpt6k4701292q-PAG_16_IL000001 - Grande.jpeg;pub;3861;4967;portrait;24
marie-claire_img/pub/bpt6k47011464-PAG_45_IL000001 - Grande.jpeg;pub;3909;5095;portrait;27
marie-claire_img/pub/bpt6k4701320k-PAG_15_IL000001 - Grande.jpeg;pub;3905;5002;portrait;154
marie-claire_img/pub/bpt6k4701101j-PAG_14_IL000001 - Grande.jpeg;pub;3947;5021;portrait;277
marie-claire_img/pub/bpt6k4701297s-PAG_17_IL000001 - Grande.jpeg;pub;3905;5002;portrait;8
marie-claire_img/pub/bpt6k47011553-PAG_39_IL000001 - Grande.jpeg;pub;3859;5057;portrait;236
marie-claire_img/pub/bpt6k4701045c-PAG_2_IL000001 - Grande.jpeg;pub;3767;5000;portrait;90
marie-claire_img/pub/bpt6k4701085w-PAG_12_IL000001 - Grande.jpeg;pub;3700;5004;paysage;241
marie-claire_img/pub/bpt6k4701279v-PAG_15_IL000001 - Grande.jpeg;pub;3800;4980;portrait;31
marie-claire_img/pub/bpt6k4701309j-PAG_16_IL000001 - Grande.jpeg;pub;3905;5002;portrait;13
marie-claire_img/pub/bpt6k4701103c-PAG_45_IL000001 - Grande.jpeg;pub;3743;4994;portrait;203
marie-claire_img/pub/bpt6k4701152v-PAG_2_IL000001 - Grande.jpeg;pub;3980;5095;portrait;43
marie-claire_img/pub/bpt6k47010387-PAG_2_IL000001 - Grande.jpeg;pub;3798;5000;portrait;40
marie-claire_img/pub/bpt6k4701052h-PAG_2_IL000001 - Grande.jpeg;pub;3819;4975;portrait;162
marie-claire_img/pub/bpt6k47010884-PAG_57_IL000001 - Grande.jpeg;pub;3861;5039;portrait;11
marie-claire_img/pub/bpt6k4701265t-PAG_21_IL000001 - Grande.jpeg;pub;3812;4979;portrait;8
marie-claire_img/pub/bpt6k47011464-PAG_46_IL000001 - Grande.jpeg;pub;3909;5095;portrait;187
marie-claire_img/pub/bpt6k4701084g-PAG_46_IL000001 - Grande.jpeg;pub;3771;5004;portrait;14
marie-claire_img/pub/bpt6k4701149c-PAG_2_IL000001 - Grande.jpeg;pub;3980;5095;portrait;62
marie-claire_img/pub/bpt6k47010958-PAG_60_IL000001 - Grande.jpeg;pub;3913;5032;portrait;37
marie-claire_img/pub/bpt6k47013247-PAG_14_IL000001 - Grande.jpeg;pub;3864;5063;portrait;23
marie-claire_img/pub/bpt6k4701296c-PAG_15_IL000001 - Grande.jpeg;pub;3905;5002;portrait;8
marie-claire_img/pub/bpt6k47010424-PAG_14_IL000001 - Grande.jpeg;pub;3803;5000;portrait;50
marie-claire_img/pub/bpt6k4701070f-PAG_12_IL000001 - Grande.jpeg;pub;3805;4957;portrait;33
marie-claire_img/pub/bpt6k47013351-PAG_13_IL000001 - Grande.jpeg;pub;3826;4969;portrait;9
marie-claire_img/pub/bpt6k4701302n-PAG_14_IL000001 - Grande.jpeg;pub;3905;5002;portrait;537
marie-claire_img/pub/bpt6k4701066j-PAG_52_IL000001 - Grande.jpeg;pub;3841;4957;portrait;66
marie-claire_img/pub/bpt6k47010387-PAG_58_IL000001 - Grande.jpeg;pub;3851;5000;portrait;240
marie-claire_img/pub/bpt6k4701076x-PAG_45_IL000001 - Grande.jpeg;pub;3780;4975;portrait;72
marie-claire_img/pub/bpt6k47012029-PAG_38_IL000001 - Grande.jpeg;pub;3905;5002;portrait;275
marie-claire_img/pub/bpt6k4701158b-PAG_5_IL000001 - Grande.jpeg;pub;3747;5009;portrait;173
marie-claire_img/pub/bpt6k47010817-PAG_41_IL000001 - Grande.jpeg;pub;3887;5004;portrait;242
marie-claire_img/pub/bpt6k4701080t-PAG_44_IL000001 - Grande.jpeg;pub;3889;5004;portrait;11
marie-claire_img/pub/bpt6k47010906-PAG_2_IL000001 - Grande.jpeg;pub;3990;5039;portrait;201
marie-claire_img/pub/bpt6k4701067z-PAG_37_IL000001 - Grande.jpeg;pub;3769;4957;portrait;32
marie-claire_img/pub/bpt6k4701108f-PAG_41_IL000001 - Grande.jpeg;pub;3883;5031;portrait;81
marie-claire_img/pub/bpt6k4701314v-PAG_14_IL000001 - Grande.jpeg;pub;3905;5002;portrait;273
marie-claire_img/pub/bpt6k4701112b-PAG_6_IL000001 - Grande.jpeg;pub;3982;5001;portrait;10
marie-claire_img/pub/bpt6k4701143w-PAG_39_IL000001 - Grande.jpeg;pub;3909;5095;portrait;180
marie-claire_img/pub/bpt6k4701166w-PAG_35_IL000001 - Grande.jpeg;pub;3815;5000;portrait;235
marie-claire_img/pub/bpt6k4701154p-PAG_56_IL000001 - Grande.jpeg;pub;3905;5070;portrait;9
marie-claire_img/pub/bpt6k4701337v-PAG_12_IL000001 - Grande.jpeg;pub;3826;4969;portrait;44
marie-claire_img/pub/bpt6k4701054b-PAG_40_IL000001 - Grande.jpeg;pub;3862;4975;portrait;10
marie-claire_img/pub/bpt6k47011872-PAG_34_IL000001 - Grande.jpeg;pub;3896;5039;portrait;33
marie-claire_img/pub/bpt6k4701179h-PAG_18_IL000001 - Grande.jpeg;pub;3885;5000;portrait;247
marie-claire_img/pub/bpt6k4701157x-PAG_36_IL000001 - Grande.jpeg;pub;3874;5057;portrait;23
marie-claire_img/pub/bpt6k47010743-PAG_51_IL000001 - Grande.jpeg;pub;3804;4957;portrait;122
marie-claire_img/pub/bpt6k47011731-PAG_27_IL000001 - Grande.jpeg;pub;3758;5000;portrait;312
marie-claire_img/pub/bpt6k4701075h-PAG_81_IL000001 - Grande.jpeg;pub;3804;4975;portrait;8
marie-claire_img/pub/bpt6k47010424-PAG_58_IL000001 - Grande.jpeg;pub;3875;5000;portrait;188
marie-claire_img/pub/bpt6k4701151f-PAG_56_IL000001 - Grande.jpeg;pub;3980;5095;portrait;61
marie-claire_img/pub/bpt6k4701322d-PAG_15_IL000001 - Grande.jpeg;pub;3736;5024;portrait;3
marie-claire_img/pub/bpt6k4701190j-PAG_2_IL000001 - Grande.jpeg;pub;3921;5039;portrait;211
marie-claire_img/pub/bpt6k47013336-PAG_12_IL000001 - Grande.jpeg;pub;3826;4969;portrait;33
marie-claire_img/pub/bpt6k4701075h-PAG_2_IL000001 - Grande.jpeg;pub;3804;4957;portrait;13
marie-claire_img/pub/bpt6k4701039n-PAG_14_IL000001 - Grande.jpeg;pub;3851;5000;portrait;34
marie-claire_img/pub/bpt6k47011390-PAG_39_IL000001 - Grande.jpeg;pub;3976;5095;portrait;49
marie-claire_img/pub/bpt6k4701203q-PAG_29_IL000001 - Grande.jpeg;pub;3905;5002;portrait;6
marie-claire_img/pub/bpt6k4701307q-PAG_16_IL000001 - Grande.jpeg;pub;3905;5002;portrait;14
marie-claire_img/pub/bpt6k4701267n-PAG_16_IL000001 - Grande.jpeg;pub;3737;4974;portrait;8
marie-claire_img/pub/bpt6k47011375-PAG_34_IL000001 - Grande.jpeg;pub;3865;5095;portrait;180
marie-claire_img/pub/bpt6k4701053x-PAG_2_IL000001 - Grande.jpeg;pub;3866;4975;portrait;76
marie-claire_img/pub/bpt6k4701066j-PAG_10_IL000001 - Grande.jpeg;pub;3769;4957;portrait;29
marie-claire_img/pub/bpt6k47013210-PAG_15_IL000001 - Grande.jpeg;pub;3905;5002;portrait;46
marie-claire_img/pub/bpt6k4701112b-PAG_43_IL000001 - Grande.jpeg;pub;3934;5023;portrait;81
marie-claire_img/pub/bpt6k4701048m-PAG_2_IL000001 - Grande.jpeg;pub;3819;4975;portrait;51
marie-claire_img/pub/bpt6k4701112b-PAG_4_IL000001 - Grande.jpeg;pub;3940;5001;portrait;216
marie-claire_img/pub/bpt6k4701073p-PAG_7_IL000001 - Grande.jpeg;pub;3804;4957;portrait;269
marie-claire_img/pub/bpt6k47011412-PAG_39_IL000001 - Grande.jpeg;pub;3976;5095;portrait;210
marie-claire_img/pub/bpt6k4701127s-PAG_37_IL000001 - Grande.jpeg;pub;3942;5106;portrait;143
marie-claire_img/pub/bpt6k4701201w-PAG_6_IL000001 - Grande.jpeg;pub;3905;5002;portrait;347
marie-claire_img/double_editorial/bpt6k4701265t-PAG_13_IL000001 - Grande.jpeg;double_editorial;7426;4979;paysage;305
marie-claire_img/double_editorial/bpt6k4701217r-PAG_15_IL000001 - Grande.jpeg;double_editorial;7527;5029;paysage;204
marie-claire_img/double_editorial/bpt6k47011004-PAG_34_IL000001 - Grande.jpeg;double_editorial;7734;5021;paysage;210
marie-claire_img/double_editorial/bpt6k4701302n-PAG_10_IL000001 - Grande.jpeg;double_editorial;7673;5002;paysage;426
marie-claire_img/double_editorial/bpt6k47012118-PAG_4_IL000001 - Grande.jpeg;double_editorial;7573;5050;paysage;289
marie-claire_img/double_editorial/bpt6k4701190j-PAG_27_IL000001 - Grande.jpeg;double_editorial;7778;5039;paysage;425
marie-claire_img/double_editorial/bpt6k4701290w-PAG_11_IL000001 - Grande.jpeg;double_editorial;7549;4997;paysage;179
marie-claire_img/double_editorial/bpt6k47012919-PAG_4_IL000001 - Grande.jpeg;double_editorial;7602;4938;paysage;269
marie-claire_img/double_editorial/bpt6k4701309j-PAG_5_IL000001 - Grande.jpeg;double_editorial;7638;5002;paysage;527
marie-claire_img/double_editorial/bpt6k47012311-PAG_5_IL000001 - Grande.jpeg;double_editorial;7465;5005;paysage;691
marie-claire_img/double_editorial/bpt6k47012578-PAG_15_IL000001 - Grande.jpeg;double_editorial;7509;5045;paysage;600
marie-claire_img/double_editorial/bpt6k4701212p-PAG_6_IL000001 - Grande.jpeg;double_editorial;7562;4947;paysage;740
marie-claire_img/double_editorial/bpt6k4701341r-PAG_5_IL000001 - Grande.jpeg;double_editorial;7543;4969;paysage;335
marie-claire_img/double_editorial/bpt6k47013247-PAG_7_IL000001 - Grande.jpeg;double_editorial;7554;5087;paysage;211
marie-claire_img/double_editorial/bpt6k4701215x-PAG_7_IL000001 - Grande.jpeg;double_editorial;7606;5003;paysage;515
marie-claire_img/double_editorial/bpt6k4701336f-PAG_6_IL000001 - Grande.jpeg;double_editorial;7543;4969;paysage;253
marie-claire_img/double_editorial/bpt6k4701327g-PAG_12_IL000001 - Grande.jpeg;double_editorial;7460;5024;paysage;500
marie-claire_img/double_editorial/bpt6k4701322d-PAG_4_IL000001 - Grande.jpeg;double_editorial;7471;5024;paysage;300
marie-claire_img/double_editorial/bpt6k4701226q-PAG_10_IL000001 - Grande.jpeg;double_editorial;7481;4973;paysage;600
marie-claire_img/double_editorial/bpt6k4701319x-PAG_11_IL000001 - Grande.jpeg;double_editorial;7473;5002;paysage;300
marie-claire_img/double_editorial/bpt6k4701328w-PAG_8_IL000001 - Grande.jpeg;double_editorial;7460;5024;paysage;804
marie-claire_img/pub/bpt6k4701201w-PAG_20_IL000001 - Grande.jpeg;double_editorial;7600;5002;paysage;346
marie-claire_img/pub/bpt6k47013069-PAG_11_IL000001 - Grande.jpeg;double_editorial;7800;5002;paysage;231
marie-claire_img/pub/bpt6k4701067z-PAG_19_IL000004 - Grande.jpeg;double_editorial;7400;4957;paysage;72
